county,precinct,office,district,party,candidate,votes
Indiana,Cherry Tree,Ballots Cast,,DEM,,23
Indiana,Cherry Tree,Ballots Cast,,REP,,41
Indiana,Cherry Tree,Ballots Cast,,NPA,,0
Indiana,Clymer,Registered Voters,,,,708
Indiana,Clymer,Registered Voters,,DEM,,338
Indiana,Clymer,Registered Voters,,REP,,370
Indiana,Clymer,Registered Voters,,NPA,,0
Indiana,Clymer,Ballots Cast,,,,253
Indiana,Clymer,Ballots Cast,,DEM,,127
Indiana,Clymer,Ballots Cast,,REP,,126
Indiana,Clymer,Ballots Cast,,NPA,,0
Indiana,Conemaugh #1,Registered Voters,,,,242
Indiana,Conemaugh #1,Registered Voters,,DEM,,118
Indiana,Conemaugh #1,Registered Voters,,REP,,124
Indiana,Conemaugh #1,Registered Voters,,NPA,,0
Indiana,Conemaugh #1,Ballots Cast,,,,95
Indiana,Conemaugh #1,Ballots Cast,,DEM,,46
Indiana,Conemaugh #1,Ballots Cast,,REP,,49
Indiana,Conemaugh #1,Ballots Cast,,NPA,,0
Indiana,Conemaugh #2,Registered Voters,,,,596
Indiana,Conemaugh #2,Registered Voters,,DEM,,221
Indiana,Conemaugh #2,Registered Voters,,REP,,375
Indiana,Conemaugh #2,Registered Voters,,NPA,,0
Indiana,Conemaugh #2,Ballots Cast,,,,220
Indiana,Conemaugh #2,Ballots Cast,,DEM,,88
Indiana,Conemaugh #2,Ballots Cast,,REP,,132
Indiana,Conemaugh #2,Ballots Cast,,NPA,,0
Indiana,Conemaugh #3,Registered Voters,,,,355
Indiana,Conemaugh #3,Registered Voters,,DEM,,163
Indiana,Conemaugh #3,Registered Voters,,REP,,192
Indiana,Conemaugh #3,Registered Voters,,NPA,,0
Indiana,Conemaugh #3,Ballots Cast,,,,141
Indiana,Conemaugh #3,Ballots Cast,,DEM,,67
Indiana,Conemaugh #3,Ballots Cast,,REP,,74
Indiana,Conemaugh #3,Ballots Cast,,NPA,,0
Indiana,Creekside,Registered Voters,,,,154
Indiana,Creekside,Registered Voters,,DEM,,74
Indiana,Creekside,Registered Voters,,REP,,80
Indiana,Creekside,Registered Voters,,NPA,,0
Indiana,Creekside,Ballots Cast,,,,57
Indiana,Creekside,Ballots Cast,,DEM,,31
Indiana,Creekside,Ballots Cast,,REP,,26
Indiana,Creekside,Ballots Cast,,NPA,,0
Indiana,Ernest,Registered Voters,,,,186
Indiana,Ernest,Registered Voters,,DEM,,89
Indiana,Ernest,Registered Voters,,REP,,97
Indiana,Ernest,Registered Voters,,NPA,,0
Indiana,Ernest,Ballots Cast,,,,59
Indiana,Ernest,Ballots Cast,,DEM,,25
Indiana,Ernest,Ballots Cast,,REP,,34
Indiana,Ernest,Ballots Cast,,NPA,,0
Indiana,Glen Campbell,Registered Voters,,,,120
Indiana,Glen Campbell,Registered Voters,,DEM,,62
Indiana,Glen Campbell,Registered Voters,,REP,,58
Indiana,Glen Campbell,Registered Voters,,NPA,,0
Indiana,Glen Campbell,Ballots Cast,,,,45
